"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","Input.image_url","Answer.c9","Answer.c10","Answer.c1","Answer.c2","Answer.c3","Answer.c4","Answer.c5","Answer.c6","Answer.c7","Answer.c8","Approve","Reject"
"1F5JJ30WUB42152Q2UPW6GTPA5BE9B","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:24 GMT 2010","3","","120","259200","Wed May 05 21:36:24 GMT 2010","180","","154NRN8U59GGQKKHAKVJB9KQYCQ53P","A3RMYOLYFDCMXU","Submitted","Thu Apr 29 01:10:38 GMT 2010","Thu Apr 29 01:11:25 GMT 2010","Sun May 02 01:11:25 GMT 2010","","","","47","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0201.jpeg","e","c","M","u","r","8","t","n","n","o"
"1F5JJ30WUB42152Q2UPW6GTPA5BE9B","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:24 GMT 2010","3","","120","259200","Wed May 05 21:36:24 GMT 2010","180","","16R91OQ9SDZYIQBKBQKGY13YF5XGVF","A385LM6N33I5SD","Submitted","Thu Apr 29 01:46:12 GMT 2010","Thu Apr 29 01:47:28 GMT 2010","Sun May 02 01:47:28 GMT 2010","","","","76","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0201.jpeg","e","c","M","u","r","8","t","n","n","o"
"1F5JJ30WUB42152Q2UPW6GTPA5BE9B","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:24 GMT 2010","3","","120","259200","Wed May 05 21:36:24 GMT 2010","180","","1BG366AUA8TMI1LH6RGLWP75MRAKEF","A38FY7U64LEWO6","Submitted","Thu Apr 29 00:15:34 GMT 2010","Thu Apr 29 00:15:55 GMT 2010","Sun May 02 00:15:55 GMT 2010","","","","21","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0201.jpeg","e","g","m","u","r","8","t","n","n","o"
"17WO9GB32QGPJ57C544S8IC1FCEMJ3","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:24 GMT 2010","3","","120","259200","Wed May 05 21:36:24 GMT 2010","180","","13Q2EFJN401EMB04NY09ZBZWFXAW02","A2WXFF3HU0SG3D","Submitted","Thu Apr 29 01:36:21 GMT 2010","Thu Apr 29 01:37:17 GMT 2010","Sun May 02 01:37:17 GMT 2010","","","","56","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0202.jpeg","S","8","t","S","J","T","D","r","S","Y"
"17WO9GB32QGPJ57C544S8IC1FCEMJ3","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:24 GMT 2010","3","","120","259200","Wed May 05 21:36:24 GMT 2010","180","","1N9JRQHON2ODUHRO0A0X7G3592YZ6U","A2JFK1OIUO4ZUS","Submitted","Wed Apr 28 23:42:27 GMT 2010","Wed Apr 28 23:43:30 GMT 2010","Sat May 01 23:43:30 GMT 2010","","","","63","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0202.jpeg","5","8","t","5","J","T","o","D","5","Y"
"17WO9GB32QGPJ57C544S8IC1FCEMJ3","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:24 GMT 2010","3","","120","259200","Wed May 05 21:36:24 GMT 2010","180","","1RQWCH62JGE4IOFJ9J0YWOF72PAPU2","A38FY7U64LEWO6","Submitted","Thu Apr 29 00:24:11 GMT 2010","Thu Apr 29 00:24:57 GMT 2010","Sun May 02 00:24:57 GMT 2010","","","","46","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0202.jpeg","s","8","t","s","s","T","o","r","s","Y"
"14M64YSPNT9U2XCKL5ETOIN3UUPWUZ","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:47 GMT 2010","3","","120","259200","Wed May 05 21:36:47 GMT 2010","208","","1BG366AUA8TMI1LH6RGLWP75MR9EK8","ANMSCC9XX34XP","Submitted","Thu Apr 29 00:11:19 GMT 2010","Thu Apr 29 00:12:25 GMT 2010","Sun May 02 00:12:25 GMT 2010","","","","66","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0001.jpeg","m","6","0","a","n","t","9","g","e","d"
"14M64YSPNT9U2XCKL5ETOIN3UUPWUZ","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:47 GMT 2010","3","","120","259200","Wed May 05 21:36:47 GMT 2010","208","","1D5HTI2HL2HH6NH5Z5O913G37DKY5N","A38FY7U64LEWO6","Submitted","Thu Apr 29 00:24:35 GMT 2010","Thu Apr 29 00:25:19 GMT 2010","Sun May 02 00:25:19 GMT 2010","","","","44","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0001.jpeg","m","6","n","0","n","t","9","g","e","d"
"14M64YSPNT9U2XCKL5ETOIN3UUPWUZ","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:47 GMT 2010","3","","120","259200","Wed May 05 21:36:47 GMT 2010","208","","1MOYL5MSJHWP7GKYR1ESX5H5HE7RVL","A14X4K5DRYLPGC","Submitted","Thu Apr 29 01:22:10 GMT 2010","Thu Apr 29 01:22:41 GMT 2010","Sun May 02 01:22:41 GMT 2010","","","","31","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0001.jpeg","m","6","0","0","n","t","9","g","e","d"
"1IMI7L1FVY6E4VF7EAUYSCCF1QQEDS","1UADW3IYI7DKPFPEMCXOI4QW7UIRHK","Classify hand-written characters","Simply classify characters and prove that humans are better than Machine Learning algorithms :)","character, label, tagging, annotation","$0.02","Wed Apr 28 21:36:47 GMT 2010","3","","120","259200","Wed May 05 21:36:47 GMT 2010","95","","1D7DOZIPYL4I6AI0GPIFPC6VP0N4VF","A399UZ5I6B2FTD","Submitted","Thu Apr 29 00:00:30 GMT 2010","Thu Apr 29 00:01:37 GMT 2010","Sun May 02 00:01:37 GMT 2010","","","","67","http://www-etud.iro.umontreal.ca/~erhandum/amt/p07/p07_0002.jpeg","6","8","S","B","5","3","S","L","8","B"
